,Id,User,Tweet,class_label
16,56050211,Wicked - Just Give Us A Little Justice Blues ✨🇺🇸,As part of federal response to #COVID19 @DMAnews1 reminds landlords of their obligations and tenants of their rights under @CDCgov Order temporarily halting residential evictions of tenants who meet certain eligibility requirements https://t.co/gYuaQl6zfi,POSITIVE
17,1069867279,Chance Metz,"Back up ✔️ 
Mask up ✔️ 
Wash up ✔️ 

It’s important to practice safe habits and model healthy decisions for students. The #COVID19 vaccine rollout is underway, but we must continue doing our best to slow the spread. #InThisTogetherOhio #StaySafeOhio https://t.co/3lWx4IRScb https://t.co/LSdWSpJVve",POSITIVE
18,299183606,"Prof David Evans, OBE","How pathetic 🇬🇧 @Conservatives Govt, #Supermarkets &amp; country are becoming⁉️

How would #UK feel if everyone on 🇪🇺#EU continent, getting the #EnglishVariant of #COVID19, had a flag of St George or #UnionFlag stuck on their medical notes!

""Highly infectious""

#BrexitIsPettyGoneMad https://t.co/OaKEYP9vhX",NEGATIVE
19,336044377,Son,I'll never understand how we were able to fast track approval for 3 vaccines to address #COVID19 in less than a year but still haven't been able to get clean drinking water to First Nations communities who have been suffering for decades.,NEGATIVE
20,2786432911,Mount Sinai - National Jewish Health Respiratory,Find out how to reduce your risk of #COVID19 during a small gathering. https://t.co/TMbwRQMDmM,NEGATIVE
21,160873177,charmae_kai❤️,"#SuperM Joins #GlobalCitizen Campaign To Help The World Overcome #COVID19!👏👑👑👑👑👑👑👑👑🌎😷💚
https://t.co/uwlgSGTeWO https://t.co/2XqZ1XeSvR",NEGATIVE
22,1.31E+18,🎁🎁🎁🎁🎁,"@TheSun This has help throughout COVID 
🔴 CLICK ON THE LINK 😱🤯🤯

https://t.co/XNheP89U0H

#YouTube #contentcreators #Lockdown4 #lockingfilm #uk #funny #timetofly #youtubers #dontdoit #LifeStories #COVID19 #COYS #COVIDTIPS #clickonlink #HELPINGBRINGASMILE #SMILES #HEMELHEMPSTEAD",NEGATIVE
23,1454583764,Tony Dean,"Health Canada has authorized the #COVID19 vaccine manufactured by AstraZeneca, and the Serum Institute of India’s version of the AstraZeneca vaccine.  https://t.co/Igp4MYJuQ0 #COVIDvaccine https://t.co/oDFiVcJK0F",POSITIVE
24,7.80E+17,Nextstrain,"Thanks to #opendata sharing by @GISAID, we updated https://t.co/SDPCOcsnMX with 8448 new #COVID19 #SARSCoV2 seqs!

Check out new seqs from Nigeria (6), Rwanda (5) &amp; South Africa (6) on https://t.co/M9mn88xLnL.

(Thanks to @NCDCgov @RBCRwanda @EMukantwali @UmJeann @nhls_sa)

1/10 https://t.co/P3lsA4oX8s",NEGATIVE
25,45154969,Kate Cheney Davidson,"The world's largest and most rapid global deployment of vaccines has now begun which means that, for the first time, access to #COVID19 vaccines is not based on the wealth of one's country – but on global equitable access: https://t.co/Pqi0KenIrm",POSITIVE
26,3949435217,Thank you for voting BLUE!,"NYC School Chancellor, 
Richard Carranza  Resigns

He will be replaced by Meisha Porter, who serves as executive superintendent for the Bronx

All eyes now on the future of mayoral leadership and education in the city
#NYCSchools
#COVID19 
#schools 
https://t.co/3s0iUbQh43",POSITIVE
27,1.31E+18,Inno4cov19,"Time to have a look at the results of the #EU funded project @inno4cov19 Open Call 1st Round!

🧐Check out the 18 successful projects that will be working on developing &amp; implementing innovative technologies to fight #COVID19 ➡️https://t.co/y0LZUI1m8a https://t.co/OMuZ0Ev5XU",POSITIVE
28,9.83E+17,TNCoronaUpdates,"#TamilNadu | #COVID19 | 26 Feb

Today/Total - 481 / 8,50,577
Active Cases - 4,046
Discharged Today/Total - 483 / 8,34,043
Death Today/Total - 05 / 12,488
Samples Tested Today/Total - 52,746 / 1,73,76,129*

#TNCoronaUpdates #TNCorona #TN #TNFightsCorona #TN_Together_AgainstCorona https://t.co/oBXyEQa38U",POSITIVE
29,102732884,The Review of Religions,"Shamima Begum has become one of the most controversial names in every UK household for being the face of ISIS Brides.

Presenting London’s astonishing reaction to the face of #ISIS brides everywhere.

Disclaimer: filmed before #COVID19 pandemic. https://t.co/7wy685Us8d",NEGATIVE
30,1354589742,Trump is a criminal. Warren has a plan for that.,"As the American Rescue Plan moves forward in Congress this week, here is a quick look at some of its key provisions. We are hoping to pass this extensive package because we recognize that #COVID19 is an extensive problem. https://t.co/5BDhBZeolZ",POSITIVE
31,3282955777,Bean & Sprout (REAL #bckids) Want #ZeroCovidBC!,"🚨 Exclusive video: @UBCmedicine⁩ Dr. Ken Bassett is the coughing, maskless epidemiologist at ⁦@PHSAofBC⁩ board meeting, where all flouted the mask mandate #bcpoli #coronavirus #covid19  https://t.co/ExXXOZdYQx",NEGATIVE
32,1.26E+18,Tremane Phillips,Last year. 😐 #COVID19 https://t.co/BzXFZfuAJb,NEGATIVE
33,427476700,JOSE MANUEL CANCIO. MD.PhD.,"@IMPACTAudits🦠 featuring @RNFCadera Spanish National Hip Fracture Meeting 🇪🇸 🦴 courtesy of phenomenal @ojedathies 

IMPACT-Scot 1 https://t.co/6NcvGO4AaT
IMPACT-Scot 2 https://t.co/CAxfjiNqv2

Global collaborative based @EdinburghUni @EdinUniUsher 

 #orthotwitter #COVID19 https://t.co/FWkAxh4Mc9",NEGATIVE
34,1.20E+18,#Act4RuleofLaw,"Sport provides an important platform for developing life skills among young people at risk.

Before we address the topic at the #CrimeCongress🌸, learn how @UNODC's @DohaDeclaration uses sport to prevent youth crime in Peru, despite the #COVID19 pandemic: https://t.co/uJJiwsN5eG https://t.co/xmniitlPkr",NEGATIVE
35,357828075,Lee,"#COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As of 26 February, 19,177,555 people have received their first dose of a COVID-19 vaccination.

Visit the @PHE_uk dashboard for more info:
▶️️https://t.co/cQkuLQglz1 https://t.co/Awn0JqSJh5",POSITIVE
36,1.25E+18,completely counterfeit president not a sheep,"Business' must survive, recover &amp; thrive after the #COVID19 unlock 🔓

We will launch a national boycott in coming months should the Government give business' the power to discriminate. 

#VaccinePassports are dangerous to society &amp; the economic recovery of #Britain🇬🇧 https://t.co/su50Iqaukz",NEGATIVE
37,4688861786,Vigyan Prasar,Corona vaccine &amp; variants latest updates https://t.co/RXRtjpTP09  @vigyanprasar @indiasciencetv @MoHFW_INDIA  #coronavirus #COVID19 #vaccination https://t.co/uuDQZpJw8A,POSITIVE
38,8.98E+17,Halo Staffing UK,"Throughout the last few months, we have focused on keeping you, the people you support and all of our team safe throughout the #COVID19 Crisis.

We have done this by:
Limiting Staff Movement
Training
Block Bookings
Forward Planning
Risk Assessments 
Communication https://t.co/HpPQUFGceQ",POSITIVE
39,73317118,Proud Indian,"Travel and Visa restrictions extended upto March 31,2021 in view of #COVID19 . International scheduled flights may ge allowed on selected routes by the competent authority on case to case basis. https://t.co/LweTI7gDiZ",NEGATIVE
40,516149171,Static,"I want to puke—BC🇨🇦 health chief doesn’t want school kids masking. “Asked if she’s revisit policy of no masks in elementary schools, Dr Henry replied: ""Not at all—There's no evidence that a young child having to wear a mask all day long is going to make a difference.""” #COVID19 https://t.co/0uCT4gBffL",POSITIVE
41,206621610,Unnikrishnan R Santhosh,⚠️Global case decline has reversed—#COVID19 is once again surging overall worldwide / no longer dropping. Especially in Europe where the more contagious #B117 variant is driving faster spread &amp; helping launch another wave (as I’ve been shouting at the rooftops for last month). 🧵 https://t.co/x0ztfxag5T,POSITIVE
42,738473666,BeyondOldfashioned,"Threads for week ending Feb. 27:

#covid19Canada #COVID19Ontario #covid19qc #COVID19toronto #COVID19 https://t.co/lex18FOmLF",POSITIVE
43,458055112,Mary Lynn,"Gee, @IAGovernor. You sure Iowa is “coming back strong” because right now, this state sucks thanks to you. #Covid19 #Iagov #ialegis #iapolitics https://t.co/xziVBOj6bU",NEGATIVE
44,117567750,Camden County,"Between June-September 2020, counties in states with longer statewide closures and mask mandates were less likely to experience rapid increases in new #COVID19 cases upon reopening, especially in nonmetropolitan counties. See @AnnalsOfEpi: https://t.co/jdeMBqAMs2. https://t.co/VTvaKaMd4p",POSITIVE
45,151519500,House Veterans' Affairs,"As part of Chairman @RepMarkTakano's VA VACCINE Act, @DeptVetAffairs will expand access to the #COVID19 vaccine for veterans and their caregivers.

This includes veterans living abroad who are eligible for care under section 1724 of the Foreign Medical Program. https://t.co/TYppUbzxNU",POSITIVE
46,1.32E+18,Zahir Ali,"Appreciate SriLankan govt’s official gazette notification allowing burial of #COVID19 deceased in #SriLanka within few hours of PM @ImranKhanPTI’s visit. 
It is every Muslim’s final right to be buried as was requested by #PMIK.

Thankyou Govt of Sri Lanka for this gesture! https://t.co/y4PMseHArA",POSITIVE
47,490269987,Ulfah,"People in Peru are camping out overnight to get oxygen for family with #COVID19.

One woman waited 5 days: ""If not, my father will die.""

Last week, 11 hospitals in Lima had shortages and prices for oxygen tripled in some areas. https://t.co/6lGt2qRUCH",NEGATIVE
48,525175452,Katherine Davidson 💙,We’ve brought together information on our website about dosing of #COVID19 vaccines. You can now find this in one place ⬇️ https://t.co/ojAdmdM2WQ,POSITIVE
49,6700742,Ferran Aznar,"The Covid-19 Vaccination Race 

#COVID19 #Vaccination 

https://t.co/nsfICItqcr",POSITIVE
50,1873369868,Larry L'Oiseau Blanc 🧩,This is a wrong decision and demonstrates once again why having members of a social movement in Ministerial roles in Government is wrong. This solution to  #DirectProvision is to change the process (to a single application) not the housing. You are rewarding illegality #COVID19 https://t.co/pJFPAVXdxj,POSITIVE
51,1.36E+18,Arnold D. Horshack,Watch @Reuters's broadcast: LIVE: White House #COVID19 response team gives update as #FDA to review #JohnsonVaccine. #BIDEN #PresidentBIDEN #CDC #Coronavirus #Vaccine #Vaccines #Johnson  https://t.co/3ia3Vvlpyh,NEGATIVE
52,1.26E+18,Nafsar,"#COVID19: Indoor venues, including cinemas and entertainment and sports venues, will continue to operate at 50% of maximum capacity and under intensified precautionary measures
https://t.co/7qdsxetfnh  
#Dubai https://t.co/xgGaeo76DR",POSITIVE
53,56087674,Jim Marshall,"With incomes lost to #COVID19, families across India can no longer send their children to school.

But when you donate to #magicbus, you can help a family rebuild the incomes lost to the #Pandemic and ensure their children stay in school: 
https://t.co/reTAici1My https://t.co/mfBE3qppgl",POSITIVE
54,7.40E+17,Southern Regional Health Authority,"Please see the #COVID19 update for Thursday, February 25, 2021.

Full Report: https://t.co/TDk3uTWNAe

@christufton @julietcuthbert @themohwgovjm @theserhajm 
@wrhagovjm @mohnerha @wcchen 

#JaCovid19 #Covid19Jamaica #BeatCOVID #staysafe #SRHAJamaica https://t.co/dPIDGZVLYo",POSITIVE
55,14426487,Rabid Badger,"Weird how when republicans rammed a massive quadrillion-dollar tax cut for the rich down everyone’s throats the press said the legislation “passed” through Congress. But when Democrats try to pass #COVID19 relief, it’s a “shove.” 🙄 https://t.co/Ze5AKlK1Qe",NEGATIVE
56,817583581,samiam,Leader of the Official Opposition NDP @AndreaHorwath says the transcript of Dr. David Williams’ testimony at the Long-Term Care Commission makes it clear that the government is trying to hide their response to #COVID19 in Ontario’s nursing homes. https://t.co/J9T3RL74C5,NEGATIVE
57,15921966,Whitney Feininger,"#UVM has introduced two important measures to help keep us safe and learning in-person this semester:

1. Beginning March 1, all students who are required to test will now be required to complete a #COVID19 test two times per week with three days between each test. (1/3) https://t.co/DTPTaf5sm2",POSITIVE
58,1.09E+18,SONDRA E.,Join us at City Hall for the latest on #COVID19 and more. https://t.co/WtB257cxGN,NEGATIVE
59,7.21E+17,Racquel Muir,"Over 1 million COVID-19 screenings completed on NexJ Connected Wellness, keeping essential employees on the job. Read our press release here: https://t.co/pB9cbGunny  #COVID19 #employeewellness #digitalhealth #healthtech https://t.co/akM0kWgb8C",POSITIVE
60,9.64E+17,RXKEVING,"✨Great GRADE table✨
from @IDSAInfo
Tocilizumab compared to no Toci for hospitalized patients with #COVID19 https://t.co/fo8f6cv8Aq https://t.co/gh8kN2rnXA",NEGATIVE
61,1.01E+18,ADENIYI BAKARE,"After Ghana, Côte d'Ivoire becomes the 2nd African country to receive #COVID19 vaccines via #COVAX!
Simon Amadou, @UNICEF_CIV Head of logistics, speaks on this historic step towards ensuring equitable #COVID19vaccine distribution around the world.
@gavi @UNICEF @CEPIvaccines @WHO https://t.co/jUiswk4dyy",POSITIVE
62,1.10E+18,Galway Pulse,"Aer Arann Islands continues to provide essential travel services for islanders. Read the full story below. #AranIslands #EssentialTravel #COVID19 
https://t.co/teNQsnOygJ",NEGATIVE
63,21323086,Nigel Bennett,"My cartoon Friday @TheTimes. In his case, grade hyper-inflation. #GavinWilliamson #schools #COVID19 https://t.co/2T8xF6bVU5",NEGATIVE
64,8.16E+17,Cey 🤟🏽 Black Lives Matter ✊🏽,"#Covid19 #HighRiskCovid19
#NoBodyIsDisposable
#CripTheVote
Covid proves the government is killing disabled people  | by @QueerlyAutistic https://t.co/sFbNxcvwGD",NEGATIVE
65,216871053,Matthew Chapman,@UKCovid19Stats Wow this is a huge drop in daily cases from a week ago considering winter ends this weekend! (Famous last words and watch March turn out to be cold!) #UnitedKingdom #Covid19 https://t.co/jdCh1pjonJ,POSITIVE
66,7.21E+17,Racquel Muir,"The pandemic has been a global traumatic event that has tripled rates of depression &amp; other mental illnesses. Our VP of Clinical Programs, @noah_wayne, talks about COVID-19 &amp; mental health in an interview with @WorkSteps. https://t.co/wLR2eNzNDT #COVID19 #mentalhealth https://t.co/AfEO7049y5",POSITIVE
67,38978543,claire louise,"The drive to administer first and second doses of #COVID19 vaccine across all of Northern Ireland’s care homes has been completed.

Read more ➡️ https://t.co/LZzRJmLZ9z https://t.co/rScUHaSWZT",POSITIVE
68,12321952,Brendan May,"Taco Ted mocking mask wearing in restaurants, days after 🇺🇸 hit half a million #COVID19 deaths. 

Ted Cruz is a moron, awful at stand up, addressing a group of barely cogent right wing ghouls. 

#CPAC2021 is something akin to hell on earth. 
#TedCruzResign
https://t.co/ruh3V7Sotm",NEGATIVE
69,1.16E+18,AccessToMedicine,"It's time to take #medicineshortage seriously. Pharmacies are facing a shortage of certain drugs. 😷😷

#ParallelDistribution is an important tool to help to #FillTheGap in 🇧🇪. 

#COVID19 
@Maggie_DeBlock @JoVandeurzen https://t.co/nPcHvX6mgP",NEGATIVE
70,1615111236,Bossanova,"It amuses me that some of those who brush off the severity of #COVID19 and say ‘most of those old folks would’ve died anyway’ are the same individuals who now believe teachers shouldn’t ‘jump the queue’ because we need to protect the elderly. 

They’ve changed their tunes.",POSITIVE
71,1.03E+18,Aminat,"Thrilled to announce @yodifiji will present our annual Women in Health lecture!

At the forefront of the global pandemic response, Ayoade will describe her journey to becoming Co-Chair of the Africa Vaccine Delivery Alliance for #COVID19 🌍

👉 https://t.co/4BiHwOvM6e #IWD2021 https://t.co/BPN8KcEpIV",POSITIVE
72,97806654,Pamela Morcillo,"Ontario is reporting 1,258 cases of #COVID19 and over 64,000 tests completed. Locally, there are 362 new cases in Toronto, 274 in Peel and 104 in York Region. 
 
As of 6:00 p.m. yesterday, 643,765 doses of the COVID-19 vaccine have been administered.",POSITIVE
73,1.28E+18,TERIS Teratogen Information System,"""Hit Me with Your Best Shot!"" FAQs about the #COVID19 #vaccine in pregnancy and breastfeeding is the latest @MotherToBaby Blog. https://t.co/rjUR7OoKGd",NEGATIVE
74,1011339350,AlbertReport,Nearly 3 million Americans haven't gotten their second #COVID19  vaccination on time - https://t.co/v2Zltcuusy,POSITIVE
75,52361670,Lennie Derde,"Join us in the next ESCMID #COVID19 Websymposium on Treatment featuring @Lennie333 giving an update on the prospects of using immunomodulators and immunosuppressors in treating COVID-19.

Don't miss it on Tuesday March 2nd at 16:00 CET

Register here: https://t.co/FUHXyqcKOl https://t.co/EqDyHu1vd9",POSITIVE
76,72898202,KCBS Radio - The Traffic Leader,".@KCBSRadio Coming up:
-#COVID19 relief bill moves forward in the House
-Oakland to release environmental report on A's ballpark
-How does BART deal with life after the pandemic?
-Why state's oldest cathedral might have to close
PLUS @KCBSAMFMTraffic Join me at 10:03",POSITIVE
77,614556473,🚀 Caley,"Coworker went to get his 2nd shot in Osceola County, but was turned away and told by Florida Dept of Health that the priority was just for 1st shot

#COVID19",POSITIVE
78,7.50E+17,Voluntary Action,"#WashingYourHands is one of the easiest ways to protect yourself from #COVID19 in the #EastMids

#WashYourHands for around 20 SECONDS- the time it takes to sing 'Happy Birthday' twice

If you've been out - #HandWashing is especially important when you get home. https://t.co/QNWKzIt3vx",POSITIVE
79,1.17E+18,Angela 3.5%,"England 25th Feb

Child Hospitalisations (Covid) rise to 5,042 a rise of 25 children admitted overnight

0-5       2554
6-17     2488

Child Covid Admissions 3,145 in 106 days
#coronavirus #COVID19 #SARSCoV2",POSITIVE
80,81211010,John Lyon,"In the latest episode of our podcast, Wonks at Work, host @J_Craig_Wilson discusses the impact of #COVID19 on the state’s only academic health center with @drcampatterson, chancellor of @uamshealth. https://t.co/5YSuEzq7UV https://t.co/PvlAoCmSCV",POSITIVE
81,152846536,Dave Shrigley,"Today's update on #COVID in #Ontario:
-There are currently 683 in hospital (🔻4 from yesterday)
-There are currently 284 people in the ICU (🔺1 from yesterday)
-There are 193 people on ventilators (🔺11 from yesterday)
#COVID19 #COVID19Ontario #onpoli https://t.co/hc0na3HrLm",POSITIVE
82,1654267909,Chris Costa,Waldo and Piscataquis Counties both cross the threshold of more than 15% of its respective populations that have received a first dose of #COVID19 vaccine. That makes 9 of #Maine  16 counties that have crossed that threshold. @newscentermaine @MEPublicHealth @nirav_mainecdc https://t.co/UL8ETvRuC9,POSITIVE
83,8.57E+17,DocWire News,CARDIO ROUND-UP: More VTE and #COVID19 Connections; Air #Pollution Remains a Challenge for Elderly #Heart Health in the U.S.; Plus More https://t.co/pnSRJ8sMLa,NEGATIVE
84,20362739,Richard White,"@SkyNewsBreak #COVID19 WHERE/HOW are all these people catching covid, 10s of thousands every day.",NEGATIVE
85,1101377533,McCourt School,📅Next Wednesday at 2:00 PM join @LapaGeorgetown and McCourt School Professor @adriana_kugler as they sit down with the former President of Brazil Fernando Henrique Cardoso to discuss the impact of #COVID19 on Latin America. RSVP: https://t.co/5g7rwW04aN,NEGATIVE
86,1154281687,The Institute for Innovation & Implementation,"As the #COVID19 pandemic magnifies centuries of racial disparities, the legacy of the Black Panther Party's #publichealth service remains relevant. https://t.co/yiixrzkuF9 #BlackHistoryMonth",POSITIVE
87,81211010,John Lyon,"Yesterday we livestreamed a #COVID19 update in partnership with @ARMuniLeague, with @StBernards CEO Chris Barber joining as a guest. Here is the complete video. https://t.co/pw3LHsL01S",POSITIVE
88,1867937264,Zhelma S.M.A.R.T.,"“I’m not a woman scientist, I’m a scientist and more than half my colleagues are women and we do the job.”

Powerful #FridayFeeling vibes from Prof. Sarah Gilbert who is one of many #WomenInScience leading the fight against #COVID19. #VaccinesWork https://t.co/8NqF1sKcot",NEGATIVE
89,599509095,GW Regulatory Studies Center,"Our latest report by @BridgetDooling &amp; @lauraestanley on how federal agencies could extend regulatory flexibilities to help treat opioid use disorder beyond the pandemic.

🚨https://t.co/PcpuHFb1M5

#OpioidCrisis #COVID19 #Telemedicine
cc: @pewtrusts, @pewhealth https://t.co/mvX1SKKKZQ",NEGATIVE
90,1.33E+18,Sulaiman Pshdari,"Thanks @NHSuk, @10DowningStreet , @nadhimzahawi .
Just received first #COVID19 jab after getting call from GP Surgery to attend https://t.co/dXThgfH7pK",POSITIVE
91,339724344,kris meloche,"FEB 26: #COVID19 in #Ontario
1258 cases*, 28 deaths, 1007 resolved
64049 tests/day, 35502 pending, 2.3% pos
683 hospitalized (284 in ICU)🏥
643765 vaccinations (+21805)💉
See THREAD for more graphs📈⤵️
#onhealth #COVID19ontario https://t.co/iPf9eoPj6f",POSITIVE
92,18850817,Oliver Wyman,"New on #OWHealth: 2020 was a transformative year. According to @OliverWyman's @SamOnHealth and @TerryStone92, here's what might happen next with #COVID19, #pharmacy cost, #telehealth, and more 🔮 &gt; https://t.co/7WOU25vjgj https://t.co/MA8sNkC3H1",POSITIVE
93,1.34E+18,QuickMotive,"✅Scientifically proven practical techniques to score excellent grades in exam
✅Link - https://t.co/MxTfkrWogL

#JacksonWang #modi_rogar_do #RacismBayern3 #HimaDas #MEMES #XIAOJUN #quotes #WandaVision #SalmondSpeaks #KofiJamar #COVID19 #BTSZombieAU #NCT도영 #fun #YusufPathan https://t.co/8D2R0QQqg1",NEGATIVE
94,20038291,Sridhar Venkatapuram,"“Health and Justice in a Pandemic” is LIVE! It’s our third Co-Vids video &amp; it features Dr Sridhar Venkatapuram, an academic researcher, educator &amp; practitioner in global health &amp; philosophy at King’s College London. @CulturalKings @SciGalleryLon @sridhartweet #COVID19 #pandemic https://t.co/yk13ksM1Sx",NEGATIVE
95,436869783,Ken Bauman,"The AstraZeneca #COVID19 vaccine is now approved in Canada.

A big deal.

This will accelerate vaccination timelines. It is a more portable vaccine and can be easily administered in primary care clinics.

https://t.co/1eKPR6gCjY",POSITIVE
96,7.89E+17,Omega Insurance Agen,"Making your own physical, mental, and social-emotional health your priority will help you support family, friends, and neighbors as they do the same. #COVID19 https://t.co/AkTgxrV15f",POSITIVE
97,874755661,Dr_JusticeNow,"UK govt supports rolling out single #COVID19 #vaccine doses as fast as poss., allowing longer intervals to the 2nd dose. Controversial.
In this pre-print https://t.co/9beIYpobig screening healthcare workers who rec'ed 1 dose of @pfizer vax they claim huge decrease in infections. https://t.co/8GvxuYitCY",POSITIVE
98,1.36E+18,Primax,@DrA_001 Thats rough play oo in this #COVID19 period 🙄,NEGATIVE
99,8.23E+17,James (Ivermectin cures C19 Plan-demic),"Flawed PCR Tests and flawed COVID death reports. This is a campaign designed to inflate Covid cases, death counts and sell you the ""New Communist Normal"" 

@fordnation 

#health #medtwitter #covid #covid19 #politics #onpoli #nwo #scamdemic #toronto #writing #writerslift #ideas https://t.co/NmaoHtzHkc",NEGATIVE
100,4194426687,Fred Roth @🏠,I hope that all attendees at #CPAC go maskless and engage in all kinds of up close and personal social activity. I don't want anyone getting critically ill just really uncomfortable and requiring quarantine. #Covid19,NEGATIVE
101,1.28E+18,Alex Stuart,The World Health Organization (WHO) has granted emergency approval for a Covid vaccine made by Chinese state-owned company Sinopharm.,POSITIVE
102,1624909082,Giba Guernsey,Some more good news just in time for the weekend! #GuernseyTogether #COVID19 https://t.co/oqkIPISD8r,NEGATIVE
103,8.57E+17,Taizun Tapia,".@BharatBiotech strikes deal with Brazil to supply 20 million doses of #Covaxin 
Story by @viswanath_pilla
https://t.co/QlFn4kpRNR 

#coronavirus #BharatBiotech #COVID19 https://t.co/Uy5Hl7rDPb",POSITIVE
104,1177305456,Mary Dailey,"Friendly reminder for everyone. 

We still have roughly $1 trillion that have not been spent from previous #COVID19 relief packages.

And, in case anyone forgot, my colleagues on the other side of the aisle are asking for another $1.9 trillion.",NEGATIVE
105,29777806,Mairead ✨KRAV MUNSKYDD✨,"WHO is really serious about variants. New guidelines on variants “of interest” vs “of concern”.

➡️VOI: maintain sensitive surveillance for potentially important variants

➡️VOC: focus attention &amp; resources on the variants with the highest public health concerns #COVID19 https://t.co/FR7XFZEdfX https://t.co/1vrB6xCEzE",NEGATIVE
106,1561256618,Vero,@NathanielParish it is for electoral purposes ONLY.....   #Amlo IS using the #COVID19 vaccine to win votes.......  The Government officials ( servidores de la nación) openly say the vaccine is from the president!!!!🤔🤨😡,NEGATIVE
107,7.25E+17,Dr. Maria Veldhuizen 😷💉,"Super excited to conclude #BlackHistoryMonth by taking over the @NLMdirector Twitter handle today to share my career trajectory, the influence of #libraries in my journey, #COVID19 and more! Stay tuned!!  @NIAAAnews @NINR @IRPatNIH #RepresentationMatters #DiversityandInclusion https://t.co/Wnb1MgNLxt",NEGATIVE
